census_t_1,quarter,year.x,total,econ_crime,violent_crime,drug_crime,no_units,pop,crime_rate,stock_units,adj_population,crime_rate_adj
17031010200,4,2007,143,102,9,32,0,8826,16.202130070247,0,8826,16.202130070247
17031010200,1,2008,125,70,15,40,0,8826,14.1627011103558,0,8826,14.1627011103558
17031010200,2,2008,136,89,11,36,0,8826,15.4090188080671,0,8826,15.4090188080671
17031010200,3,2008,159,102,6,50,0,8826,18.0149558123725,0,8826,18.0149558123725
17031010200,4,2008,118,72,14,32,0,8826,13.3695898481758,0,8826,13.3695898481758
17031010200,1,2009,92,58,9,25,0,8826,10.4237480172218,0,8826,10.4237480172218
17031010200,2,2009,113,72,10,31,0,8826,12.8030818037616,0,8826,12.8030818037616
17031010200,3,2009,171,112,16,46,0,8826,19.3745751189667,0,8826,19.3745751189667
17031010200,4,2009,115,64,11,39,0,8826,13.0296850215273,0,8826,13.0296850215273
17031010200,1,2010,117,62,7,48,0,8826,13.256288239293,0,8826,13.256288239293
17031010200,2,2010,170,114,12,38,0,8826,19.2612735100838,0,8826,19.2612735100838
17031010200,3,2010,135,90,16,28,0,8826,15.2957171991842,0,8826,15.2957171991842
17031010200,4,2010,110,78,8,24,0,8826,12.4631769771131,0,8826,12.4631769771131
17031010300,1,1999,63,37,14,12,0,6649,9.47510903895323,0,6649,9.47510903895323
17031010300,2,1999,108,76,9,23,0,6649,16.243044066777,0,6649,16.243044066777
17031010300,3,1999,135,101,11,23,0,6649,20.3038050834712,0,6649,20.3038050834712
17031010300,4,1999,95,60,6,29,0,6649,14.2878628365168,0,6649,14.2878628365168
17031010300,1,2000,82,50,13,19,0,6649,12.3326816062566,0,6649,12.3326816062566
17031010300,2,2000,90,55,10,25,0,6649,13.5358700556475,0,6649,13.5358700556475
17031010300,3,2000,118,93,8,17,0,6649,17.7470296285156,0,6649,17.7470296285156
17031010300,4,2000,116,93,4,19,0,6649,17.4462325161678,0,6649,17.4462325161678
17031010300,1,2001,67,48,7,12,0,6649,10.0767032636487,0,6649,10.0767032636487
17031010300,2,2001,84,60,5,19,0,6649,12.6334787186043,0,6649,12.6334787186043
17031010300,3,2001,109,88,4,17,0,6649,16.3934426229508,0,6649,16.3934426229508
17031010300,4,2001,83,62,8,13,0,6649,12.4830801624304,0,6649,12.4830801624304
17031010300,1,2002,76,56,5,15,0,6649,11.4302902692134,0,6649,11.4302902692134
17031010300,2,2002,103,89,3,11,0,6649,15.4910512859077,0,6649,15.4910512859077
17031010300,3,2002,80,57,8,15,0,6649,12.0318844939089,0,6649,12.0318844939089
17031010300,4,2002,66,47,5,14,0,6649,9.92630470747481,0,6649,9.92630470747481
17031010300,1,2003,46,37,1,8,0,6649,6.91833358399759,0,6649,6.91833358399759
17031010300,2,2003,91,70,4,17,0,6649,13.6862686118213,0,6649,13.6862686118213
17031010300,3,2003,99,82,4,13,0,6649,14.8894570612122,0,6649,14.8894570612122
17031010300,4,2003,107,91,6,10,0,6649,16.0926455106031,0,6649,16.0926455106031
17031010300,1,2004,56,37,7,12,0,6649,8.4223191457362,0,6649,8.4223191457362
17031010300,2,2004,78,60,8,10,0,6649,11.7310873815611,0,6649,11.7310873815611
17031010300,3,2004,106,89,6,11,0,6649,15.9422469544292,0,6649,15.9422469544292
17031010300,4,2004,94,73,4,17,0,6649,14.1374642803429,0,6649,14.1374642803429
17031010300,1,2005,70,41,4,25,0,6649,10.5278989321703,0,6649,10.5278989321703
17031010300,2,2005,77,45,6,26,0,6649,11.5806888253873,0,6649,11.5806888253873
17031010300,3,2005,109,70,6,33,0,6649,16.3934426229508,0,6649,16.3934426229508
17031010300,4,2005,102,78,5,19,0,6649,15.3406527297338,0,6649,15.3406527297338
