census_t_1,month_year,total,crime_rate,econ_crime,violent_crime,drug_crime,no_units,stock_units,pop,year,month,treat_post,treat,time_index,first_treat,treat_change,id
17031080500,2004-04-01,22,8.55698171917542,4,18,28,0,0,2571,2004,4,0,1,64,76,0,17031080500_0
17031080500,2004-05-01,20,7.77907429015947,12,8,18,0,0,2571,2004,5,0,1,65,76,0,17031080500_0
17031080500,2004-06-01,12,4.66744457409568,7,5,27,0,0,2571,2004,6,0,1,66,76,0,17031080500_0
17031080500,2004-07-01,20,7.77907429015947,14,6,25,0,0,2571,2004,7,0,1,67,76,0,17031080500_0
17031080500,2004-08-01,18,7.00116686114352,12,6,24,0,0,2571,2004,8,0,1,68,76,0,17031080500_0
17031080500,2004-09-01,19,7.3901205756515,10,9,37,0,0,2571,2004,9,0,1,69,76,0,17031080500_0
17031080500,2004-10-01,18,7.00116686114352,10,8,30,0,0,2571,2004,10,0,1,70,76,0,17031080500_0
17031080500,2004-11-01,23,8.94593543368339,14,9,27,0,0,2571,2004,11,0,1,71,76,0,17031080500_0
17031080500,2004-12-01,12,4.66744457409568,10,2,22,0,0,2571,2004,12,0,1,72,76,0,17031080500_0
17031080500,2005-01-01,14,5.44535200311163,7,7,42,0,0,2571,2005,1,0,1,73,76,0,17031080500_0
17031080500,2005-02-01,9,3.50058343057176,7,2,33,0,0,2571,2005,2,0,1,74,76,0,17031080500_0
17031080500,2005-03-01,17,6.61221314663555,8,9,42,0,0,2571,2005,3,0,1,75,76,0,17031080500_0
17031080500,2005-04-01,18,7.00116686114352,16,2,34,288,288,2571,2005,4,1,1,76,76,1,17031080500_1
17031080500,2005-05-01,15,5.8343057176196,9,6,22,0,288,2571,2005,5,1,1,77,76,1,17031080500_1
17031080500,2005-06-01,20,7.77907429015947,11,9,16,0,288,2571,2005,6,1,1,78,76,1,17031080500_1
17031080500,2005-07-01,16,6.22325943212758,11,5,13,0,288,2571,2005,7,1,1,79,76,1,17031080500_1
17031080500,2005-08-01,13,5.05639828860366,10,3,37,0,288,2571,2005,8,1,1,80,76,1,17031080500_1
17031080500,2005-09-01,16,6.22325943212758,10,6,37,0,288,2571,2005,9,1,1,81,76,1,17031080500_1
17031080500,2005-10-01,12,4.66744457409568,9,3,47,0,288,2571,2005,10,1,1,82,76,1,17031080500_1
