census_t_1,month_year,total,crime_rate,econ_crime,violent_crime,drug_crime,no_units,stock_units,pop,year,month,treat_post,treat,time_index,first_treat,treat_change,id
17031080800,1999-08-01,12,6.98080279232112,8,4,8,0,0,1719,1999,8,0,1,8,20,0,17031080800_0
17031080800,1999-09-01,20,11.6346713205352,13,7,9,0,0,1719,1999,9,0,1,9,20,0,17031080800_0
17031080800,1999-10-01,5,2.9086678301338,3,2,8,0,0,1719,1999,10,0,1,10,20,0,17031080800_0
17031080800,1999-11-01,6,3.49040139616056,4,2,10,0,0,1719,1999,11,0,1,11,20,0,17031080800_0
17031080800,1999-12-01,5,2.9086678301338,3,2,6,0,0,1719,1999,12,0,1,12,20,0,17031080800_0
17031080800,2000-01-01,2,1.16346713205352,1,1,13,0,0,1719,2000,1,0,1,13,20,0,17031080800_0
17031080800,2000-02-01,5,2.9086678301338,4,1,12,0,0,1719,2000,2,0,1,14,20,0,17031080800_0
17031080800,2000-03-01,12,6.98080279232112,7,5,18,0,0,1719,2000,3,0,1,15,20,0,17031080800_0
17031080800,2000-04-01,10,5.8173356602676,8,2,13,0,0,1719,2000,4,0,1,16,20,0,17031080800_0
17031080800,2000-05-01,16,9.30773705642816,15,1,12,0,0,1719,2000,5,0,1,17,20,0,17031080800_0
17031080800,2000-06-01,13,7.56253635834788,9,4,6,0,0,1719,2000,6,0,1,18,20,0,17031080800_0
17031080800,2000-07-01,10,5.8173356602676,6,4,10,0,0,1719,2000,7,0,1,19,20,0,17031080800_0
17031080800,2000-08-01,7,4.07213496218732,4,3,10,524,524,1719,2000,8,1,1,20,20,1,17031080800_1
17031080800,2000-09-01,6,3.49040139616056,4,2,27,0,524,1719,2000,9,1,1,21,20,1,17031080800_1
17031080800,2000-10-01,11,6.39906922629436,6,5,8,0,524,1719,2000,10,1,1,22,20,1,17031080800_1
17031080800,2000-11-01,9,5.23560209424084,6,3,9,0,524,1719,2000,11,1,1,23,20,1,17031080800_1
17031080800,2000-12-01,7,4.07213496218732,3,4,12,0,524,1719,2000,12,1,1,24,20,1,17031080800_1
17031080800,2001-01-01,8,4.65386852821408,5,3,13,0,524,1719,2001,1,1,1,25,20,1,17031080800_1
17031080800,2001-02-01,14,8.14426992437464,9,5,16,0,524,1719,2001,2,1,1,26,20,1,17031080800_1
17031080800,2001-03-01,9,5.23560209424084,7,2,27,0,524,1719,2001,3,1,1,27,20,1,17031080800_1
17031080800,2001-04-01,6,3.49040139616056,3,3,16,0,524,1719,2001,4,1,1,28,20,1,17031080800_1
17031080800,2001-05-01,7,4.07213496218732,3,4,18,0,524,1719,2001,5,1,1,29,20,1,17031080800_1
17031080800,2001-06-01,9,5.23560209424084,6,3,29,0,524,1719,2001,6,1,1,30,20,1,17031080800_1
17031080800,2001-07-01,17,9.88947062245492,4,13,34,0,524,1719,2001,7,1,1,31,20,1,17031080800_1
17031080800,2001-08-01,18,10.4712041884817,10,8,33,0,524,1719,2001,8,1,1,32,20,1,17031080800_1
17031010100,1999-08-01,24,4.45186421814135,23,1,55,0,0,5391,1999,8,0,0,8,Inf,0,17031010100_0
17031010100,1999-09-01,36,6.67779632721202,28,8,26,0,0,5391,1999,9,0,0,9,Inf,0,17031010100_0
17031010100,1999-10-01,30,5.56483027267668,26,4,20,0,0,5391,1999,10,0,0,10,Inf,0,17031010100_0
17031010100,1999-11-01,20,3.70988684845112,13,7,16,0,0,5391,1999,11,0,0,11,Inf,0,17031010100_0
17031010100,1999-12-01,20,3.70988684845112,17,3,18,0,0,5391,1999,12,0,0,12,Inf,0,17031010100_0
17031010100,2000-01-01,24,4.45186421814135,17,7,13,0,0,5391,2000,1,0,0,13,Inf,0,17031010100_0
17031010100,2000-02-01,28,5.19384158783157,22,6,34,0,0,5391,2000,2,0,0,14,Inf,0,17031010100_0
17031010100,2000-03-01,48,8.9037284362827,32,16,26,0,0,5391,2000,3,0,0,15,Inf,0,17031010100_0
17031010100,2000-04-01,35,6.49230198478947,28,7,19,0,0,5391,2000,4,0,0,16,Inf,0,17031010100_0
17031010100,2000-05-01,39,7.23427935447969,32,7,22,0,0,5391,2000,5,0,0,17,Inf,0,17031010100_0
17031010100,2000-06-01,35,6.49230198478947,26,9,24,0,0,5391,2000,6,0,0,18,Inf,0,17031010100_0
17031010100,2000-07-01,35,6.49230198478947,28,7,15,0,0,5391,2000,7,0,0,19,Inf,0,17031010100_0
17031010100,2000-08-01,38,7.04878501205713,29,9,24,0,0,5391,2000,8,0,0,20,Inf,0,17031010100_0
17031010100,2000-09-01,41,7.6052680393248,35,6,16,0,0,5391,2000,9,0,0,21,Inf,0,17031010100_0
17031010100,2000-10-01,33,6.12131329994435,23,10,19,0,0,5391,2000,10,0,0,22,Inf,0,17031010100_0
17031010100,2000-11-01,28,5.19384158783157,24,4,15,0,0,5391,2000,11,0,0,23,Inf,0,17031010100_0
17031010100,2000-12-01,31,5.75032461509924,27,4,17,0,0,5391,2000,12,0,0,24,Inf,0,17031010100_0
17031010100,2001-01-01,22,4.08087553329623,19,3,16,0,0,5391,2001,1,0,0,25,Inf,0,17031010100_0
17031010100,2001-02-01,19,3.52439250602857,15,4,19,0,0,5391,2001,2,0,0,26,Inf,0,17031010100_0
17031010100,2001-03-01,28,5.19384158783157,26,2,21,0,0,5391,2001,3,0,0,27,Inf,0,17031010100_0
17031010100,2001-04-01,30,5.56483027267668,24,6,12,0,0,5391,2001,4,0,0,28,Inf,0,17031010100_0
17031010100,2001-05-01,29,5.37933593025413,23,6,22,0,0,5391,2001,5,0,0,29,Inf,0,17031010100_0
17031010100,2001-06-01,25,4.6373585605639,21,4,17,0,0,5391,2001,6,0,0,30,Inf,0,17031010100_0
17031010100,2001-07-01,33,6.12131329994435,27,6,14,0,0,5391,2001,7,0,0,31,Inf,0,17031010100_0
17031010100,2001-08-01,51,9.46021146355036,44,7,22,0,0,5391,2001,8,0,0,32,Inf,0,17031010100_0
17031010300,1999-08-01,43,6.46713791547601,40,3,12,0,0,6649,1999,8,0,0,8,Inf,0,17031010300_0
17031010300,1999-09-01,34,5.11355090991127,29,5,6,0,0,6649,1999,9,0,0,9,Inf,0,17031010300_0
17031010300,1999-10-01,23,3.4591667919988,20,3,15,0,0,6649,1999,10,0,0,10,Inf,0,17031010300_0
17031010300,1999-11-01,20,3.00797112347721,18,2,6,0,0,6649,1999,11,0,0,11,Inf,0,17031010300_0
17031010300,1999-12-01,23,3.4591667919988,22,1,8,0,0,6649,1999,12,0,0,12,Inf,0,17031010300_0
17031010300,2000-01-01,14,2.10557978643405,9,5,3,0,0,6649,2000,1,0,0,13,Inf,0,17031010300_0
17031010300,2000-02-01,24,3.60956534817266,21,3,5,0,0,6649,2000,2,0,0,14,Inf,0,17031010300_0
17031010300,2000-03-01,25,3.75996390434652,20,5,11,0,0,6649,2000,3,0,0,15,Inf,0,17031010300_0
17031010300,2000-04-01,15,2.25597834260791,15,0,7,0,0,6649,2000,4,0,0,16,Inf,0,17031010300_0
17031010300,2000-05-01,23,3.4591667919988,19,4,7,0,0,6649,2000,5,0,0,17,Inf,0,17031010300_0
17031010300,2000-06-01,27,4.06076101669424,21,6,11,0,0,6649,2000,6,0,0,18,Inf,0,17031010300_0
17031010300,2000-07-01,30,4.51195668521582,26,4,3,0,0,6649,2000,7,0,0,19,Inf,0,17031010300_0
17031010300,2000-08-01,38,5.71514513460671,36,2,9,0,0,6649,2000,8,0,0,20,Inf,0,17031010300_0
17031010300,2000-09-01,33,4.9631523537374,31,2,5,0,0,6649,2000,9,0,0,21,Inf,0,17031010300_0
17031010300,2000-10-01,29,4.36155812904196,27,2,6,0,0,6649,2000,10,0,0,22,Inf,0,17031010300_0
17031010300,2000-11-01,32,4.81275379756354,31,1,6,0,0,6649,2000,11,0,0,23,Inf,0,17031010300_0
17031010300,2000-12-01,36,5.41434802225899,35,1,7,0,0,6649,2000,12,0,0,24,Inf,0,17031010300_0
17031010300,2001-01-01,26,3.91036246052038,22,4,5,0,0,6649,2001,1,0,0,25,Inf,0,17031010300_0
17031010300,2001-02-01,16,2.40637689878177,13,3,4,0,0,6649,2001,2,0,0,26,Inf,0,17031010300_0
17031010300,2001-03-01,13,1.95518123026019,13,0,3,0,0,6649,2001,3,0,0,27,Inf,0,17031010300_0
17031010300,2001-04-01,23,3.4591667919988,22,1,2,0,0,6649,2001,4,0,0,28,Inf,0,17031010300_0
17031010300,2001-05-01,21,3.15836967965108,19,2,6,0,0,6649,2001,5,0,0,29,Inf,0,17031010300_0
17031010300,2001-06-01,21,3.15836967965108,19,2,11,0,0,6649,2001,6,0,0,30,Inf,0,17031010300_0
17031010300,2001-07-01,33,4.9631523537374,31,2,8,0,0,6649,2001,7,0,0,31,Inf,0,17031010300_0
17031010300,2001-08-01,26,3.91036246052038,25,1,6,0,0,6649,2001,8,0,0,32,Inf,0,17031010300_0
17031010400,1999-08-01,10,1.87793427230047,7,3,0,0,0,5325,1999,8,0,0,8,Inf,0,17031010400_0
17031010400,1999-09-01,12,2.25352112676056,10,2,4,0,0,5325,1999,9,0,0,9,Inf,0,17031010400_0
17031010400,1999-10-01,8,1.50234741784038,8,0,0,0,0,5325,1999,10,0,0,10,Inf,0,17031010400_0
17031010400,1999-11-01,13,2.44131455399061,11,2,0,0,0,5325,1999,11,0,0,11,Inf,0,17031010400_0
17031010400,1999-12-01,12,2.25352112676056,12,0,3,0,0,5325,1999,12,0,0,12,Inf,0,17031010400_0
17031010400,2000-01-01,6,1.12676056338028,6,0,0,0,0,5325,2000,1,0,0,13,Inf,0,17031010400_0
17031010400,2000-02-01,8,1.50234741784038,8,0,0,0,0,5325,2000,2,0,0,14,Inf,0,17031010400_0
17031010400,2000-03-01,7,1.31455399061033,7,0,2,0,0,5325,2000,3,0,0,15,Inf,0,17031010400_0
17031010400,2000-04-01,9,1.69014084507042,9,0,0,0,0,5325,2000,4,0,0,16,Inf,0,17031010400_0
17031010400,2000-05-01,10,1.87793427230047,10,0,4,0,0,5325,2000,5,0,0,17,Inf,0,17031010400_0
17031010400,2000-06-01,14,2.62910798122066,12,2,2,0,0,5325,2000,6,0,0,18,Inf,0,17031010400_0
17031010400,2000-07-01,19,3.56807511737089,17,2,2,0,0,5325,2000,7,0,0,19,Inf,0,17031010400_0
17031010400,2000-08-01,11,2.06572769953052,10,1,0,0,0,5325,2000,8,0,0,20,Inf,0,17031010400_0
17031010400,2000-09-01,11,2.06572769953052,10,1,2,0,0,5325,2000,9,0,0,21,Inf,0,17031010400_0
17031010400,2000-10-01,6,1.12676056338028,6,0,0,0,0,5325,2000,10,0,0,22,Inf,0,17031010400_0
17031010400,2000-11-01,8,1.50234741784038,7,1,0,0,0,5325,2000,11,0,0,23,Inf,0,17031010400_0
17031010400,2000-12-01,5,0.938967136150235,5,0,0,0,0,5325,2000,12,0,0,24,Inf,0,17031010400_0
17031010400,2001-01-01,3,0.563380281690141,2,1,1,0,0,5325,2001,1,0,0,25,Inf,0,17031010400_0
17031010400,2001-02-01,7,1.31455399061033,7,0,0,0,0,5325,2001,2,0,0,26,Inf,0,17031010400_0
17031010400,2001-03-01,7,1.31455399061033,7,0,1,0,0,5325,2001,3,0,0,27,Inf,0,17031010400_0
17031010400,2001-04-01,9,1.69014084507042,7,2,2,0,0,5325,2001,4,0,0,28,Inf,0,17031010400_0
17031010400,2001-05-01,15,2.8169014084507,14,1,1,0,0,5325,2001,5,0,0,29,Inf,0,17031010400_0
17031010400,2001-06-01,10,1.87793427230047,8,2,1,0,0,5325,2001,6,0,0,30,Inf,0,17031010400_0
17031010400,2001-07-01,13,2.44131455399061,12,1,1,0,0,5325,2001,7,0,0,31,Inf,0,17031010400_0
17031010400,2001-08-01,16,3.00469483568075,15,1,1,0,0,5325,2001,8,0,0,32,Inf,0,17031010400_0
17031010600,1999-08-01,44,6.12984118138757,40,4,8,0,0,7178,1999,8,0,0,8,Inf,0,17031010600_0
17031010600,1999-09-01,37,5.15463917525773,31,6,12,0,0,7178,1999,9,0,0,9,Inf,0,17031010600_0
17031010600,1999-10-01,52,7.24435775982168,48,4,6,0,0,7178,1999,10,0,0,10,Inf,0,17031010600_0
17031010600,1999-11-01,34,4.73669545834494,32,2,7,0,0,7178,1999,11,0,0,11,Inf,0,17031010600_0
17031010600,1999-12-01,37,5.15463917525773,33,4,13,0,0,7178,1999,12,0,0,12,Inf,0,17031010600_0
17031010600,2000-01-01,45,6.26915575369184,42,3,11,0,0,7178,2000,1,0,0,13,Inf,0,17031010600_0
17031010600,2000-02-01,36,5.01532460295347,33,3,12,0,0,7178,2000,2,0,0,14,Inf,0,17031010600_0
17031010600,2000-03-01,43,5.99052660908331,36,7,24,0,0,7178,2000,3,0,0,15,Inf,0,17031010600_0
17031010600,2000-04-01,20,2.78629144608526,16,4,9,0,0,7178,2000,4,0,0,16,Inf,0,17031010600_0
17031010600,2000-05-01,47,6.54778489830036,38,9,13,0,0,7178,2000,5,0,0,17,Inf,0,17031010600_0
17031010600,2000-06-01,47,6.54778489830036,42,5,12,0,0,7178,2000,6,0,0,18,Inf,0,17031010600_0
17031010600,2000-07-01,28,3.90080802451937,25,3,25,0,0,7178,2000,7,0,0,19,Inf,0,17031010600_0
17031010600,2000-08-01,30,4.17943716912789,25,5,17,0,0,7178,2000,8,0,0,20,Inf,0,17031010600_0
17031010600,2000-09-01,52,7.24435775982168,45,7,29,0,0,7178,2000,9,0,0,21,Inf,0,17031010600_0
17031010600,2000-10-01,34,4.73669545834494,30,4,17,0,0,7178,2000,10,0,0,22,Inf,0,17031010600_0
17031010600,2000-11-01,40,5.57258289217052,34,6,14,0,0,7178,2000,11,0,0,23,Inf,0,17031010600_0
17031010600,2000-12-01,25,3.48286430760658,22,3,6,0,0,7178,2000,12,0,0,24,Inf,0,17031010600_0
17031010600,2001-01-01,25,3.48286430760658,21,4,20,0,0,7178,2001,1,0,0,25,Inf,0,17031010600_0
17031010600,2001-02-01,19,2.646976873781,15,4,13,0,0,7178,2001,2,0,0,26,Inf,0,17031010600_0
17031010600,2001-03-01,25,3.48286430760658,19,6,21,0,0,7178,2001,3,0,0,27,Inf,0,17031010600_0
17031010600,2001-04-01,42,5.85121203677905,36,6,5,0,0,7178,2001,4,0,0,28,Inf,0,17031010600_0
17031010600,2001-05-01,35,4.87601003064921,29,6,9,0,0,7178,2001,5,0,0,29,Inf,0,17031010600_0
17031010600,2001-06-01,38,5.293953747562,36,2,8,0,0,7178,2001,6,0,0,30,Inf,0,17031010600_0
17031010600,2001-07-01,35,4.87601003064921,32,3,21,0,0,7178,2001,7,0,0,31,Inf,0,17031010600_0
17031010600,2001-08-01,38,5.293953747562,36,2,9,0,0,7178,2001,8,0,0,32,Inf,0,17031010600_0
17031010800,1999-08-01,28,5.23756079311635,24,4,15,0,0,5346,1999,8,0,0,8,Inf,0,17031010800_0
17031010800,1999-09-01,34,6.35989524878414,28,6,19,0,0,5346,1999,9,0,0,9,Inf,0,17031010800_0
17031010800,1999-10-01,24,4.48933782267116,21,3,20,0,0,5346,1999,10,0,0,10,Inf,0,17031010800_0
17031010800,1999-11-01,16,2.99289188178077,14,2,12,0,0,5346,1999,11,0,0,11,Inf,0,17031010800_0
17031010800,1999-12-01,26,4.86344930789375,23,3,10,0,0,5346,1999,12,0,0,12,Inf,0,17031010800_0
17031010800,2000-01-01,28,5.23756079311635,26,2,11,0,0,5346,2000,1,0,0,13,Inf,0,17031010800_0
17031010800,2000-02-01,20,3.74111485222596,20,0,7,0,0,5346,2000,2,0,0,14,Inf,0,17031010800_0
17031010800,2000-03-01,28,5.23756079311635,23,5,10,0,0,5346,2000,3,0,0,15,Inf,0,17031010800_0
17031010800,2000-04-01,16,2.99289188178077,13,3,7,0,0,5346,2000,4,0,0,16,Inf,0,17031010800_0
17031010800,2000-05-01,29,5.42461653572765,24,5,3,0,0,5346,2000,5,0,0,17,Inf,0,17031010800_0
17031010800,2000-06-01,21,3.92817059483726,16,5,4,0,0,5346,2000,6,0,0,18,Inf,0,17031010800_0
17031010800,2000-07-01,21,3.92817059483726,20,1,16,0,0,5346,2000,7,0,0,19,Inf,0,17031010800_0
17031010800,2000-08-01,22,4.11522633744856,20,2,15,0,0,5346,2000,8,0,0,20,Inf,0,17031010800_0
17031010800,2000-09-01,25,4.67639356528246,22,3,18,0,0,5346,2000,9,0,0,21,Inf,0,17031010800_0
17031010800,2000-10-01,16,2.99289188178077,13,3,14,0,0,5346,2000,10,0,0,22,Inf,0,17031010800_0
17031010800,2000-11-01,14,2.61878039655817,8,6,5,0,0,5346,2000,11,0,0,23,Inf,0,17031010800_0
17031010800,2000-12-01,8,1.49644594089039,6,2,5,0,0,5346,2000,12,0,0,24,Inf,0,17031010800_0
17031010800,2001-01-01,14,2.61878039655817,12,2,20,0,0,5346,2001,1,0,0,25,Inf,0,17031010800_0
17031010800,2001-02-01,12,2.24466891133558,9,3,16,0,0,5346,2001,2,0,0,26,Inf,0,17031010800_0
17031010800,2001-03-01,9,1.68350168350168,8,1,11,0,0,5346,2001,3,0,0,27,Inf,0,17031010800_0
17031010800,2001-04-01,20,3.74111485222596,17,3,12,0,0,5346,2001,4,0,0,28,Inf,0,17031010800_0
17031010800,2001-05-01,15,2.80583613916947,11,4,3,0,0,5346,2001,5,0,0,29,Inf,0,17031010800_0
17031010800,2001-06-01,12,2.24466891133558,12,0,15,0,0,5346,2001,6,0,0,30,Inf,0,17031010800_0
17031010800,2001-07-01,23,4.30228208005986,22,1,4,0,0,5346,2001,7,0,0,31,Inf,0,17031010800_0
17031010800,2001-08-01,16,2.99289188178077,15,1,11,0,0,5346,2001,8,0,0,32,Inf,0,17031010800_0
17031010900,1999-08-01,7,6.10820244328098,7,0,0,0,0,1146,1999,8,0,0,8,Inf,0,17031010900_0
