census_t_1,month_year,total,crime_rate,econ_crime,violent_crime,drug_crime,no_units,stock_units,pop,year,month,treat_post,treat,time_index,first_treat,treat_change,id
17031080500,2008-10-01,14,5.44535200311163,9,5,8,0,422,2571,2008,10,1,1,118,76,2,17031080500_2
17031080500,2008-11-01,10,3.88953714507974,9,1,7,0,422,2571,2008,11,1,1,119,76,2,17031080500_2
17031080500,2008-12-01,12,4.66744457409568,10,2,7,0,422,2571,2008,12,1,1,120,76,2,17031080500_2
17031080500,2009-01-01,1,0.388953714507974,1,0,7,0,422,2571,2009,1,1,1,121,76,2,17031080500_2
17031080500,2009-02-01,6,2.33372228704784,5,1,11,0,422,2571,2009,2,1,1,122,76,2,17031080500_2
17031080500,2009-03-01,10,3.88953714507974,10,0,8,0,422,2571,2009,3,1,1,123,76,2,17031080500_2
17031080500,2009-04-01,10,3.88953714507974,8,2,14,0,422,2571,2009,4,1,1,124,76,2,17031080500_2
17031080500,2009-05-01,13,5.05639828860366,8,5,11,0,422,2571,2009,5,1,1,125,76,2,17031080500_2
17031080500,2009-06-01,11,4.27849085958771,5,6,21,0,422,2571,2009,6,1,1,126,76,2,17031080500_2
17031080500,2009-07-01,11,4.27849085958771,9,2,7,0,422,2571,2009,7,1,1,127,76,2,17031080500_2
17031080500,2009-08-01,11,4.27849085958771,9,2,4,0,422,2571,2009,8,1,1,128,76,2,17031080500_2
17031080500,2009-09-01,16,6.22325943212758,15,1,13,0,422,2571,2009,9,1,1,129,76,2,17031080500_2
17031080500,2009-10-01,6,2.33372228704784,5,1,4,134,556,2571,2009,10,1,1,130,76,3,17031080500_3
17031080500,2009-11-01,11,4.27849085958771,11,0,5,0,556,2571,2009,11,1,1,131,76,3,17031080500_3
17031080500,2009-12-01,7,2.72267600155582,6,1,2,0,556,2571,2009,12,1,1,132,76,3,17031080500_3
17031080500,2010-01-01,8,3.11162971606379,8,0,7,0,556,2571,2010,1,1,1,133,76,3,17031080500_3
17031080500,2010-02-01,7,2.72267600155582,4,3,1,0,556,2571,2010,2,1,1,134,76,3,17031080500_3
17031080500,2010-03-01,4,1.55581485803189,2,2,8,0,556,2571,2010,3,1,1,135,76,3,17031080500_3
17031080500,2010-04-01,8,3.11162971606379,5,3,4,0,556,2571,2010,4,1,1,136,76,3,17031080500_3
17031080500,2010-05-01,8,3.11162971606379,7,1,5,0,556,2571,2010,5,1,1,137,76,3,17031080500_3
17031080500,2010-06-01,14,5.44535200311163,12,2,7,0,556,2571,2010,6,1,1,138,76,3,17031080500_3
17031080500,2010-07-01,10,3.88953714507974,8,2,3,0,556,2571,2010,7,1,1,139,76,3,17031080500_3
17031080500,2010-08-01,14,5.44535200311163,12,2,6,0,556,2571,2010,8,1,1,140,76,3,17031080500_3
17031080500,2010-09-01,8,3.11162971606379,8,0,3,0,556,2571,2010,9,1,1,141,76,3,17031080500_3
