census_t_1,month_year,total,crime_rate,econ_crime,violent_crime,drug_crime,no_units,stock_units,pop,year,month,treat_post,treat,time_index,first_treat,treat_change,id
17031081900,2007-01-01,5,3.38066260987153,4,1,12,0,0,1479,2007,1,0,1,97,109,0,17031081900_0
17031081900,2007-02-01,5,3.38066260987153,3,2,11,0,0,1479,2007,2,0,1,98,109,0,17031081900_0
17031081900,2007-03-01,10,6.76132521974307,3,7,8,0,0,1479,2007,3,0,1,99,109,0,17031081900_0
17031081900,2007-04-01,6,4.05679513184584,4,2,16,0,0,1479,2007,4,0,1,100,109,0,17031081900_0
17031081900,2007-05-01,17,11.4942528735632,4,13,5,0,0,1479,2007,5,0,1,101,109,0,17031081900_0
17031081900,2007-06-01,7,4.73292765382015,2,5,8,0,0,1479,2007,6,0,1,102,109,0,17031081900_0
17031081900,2007-07-01,12,8.11359026369168,2,10,14,0,0,1479,2007,7,0,1,103,109,0,17031081900_0
17031081900,2007-08-01,15,10.1419878296146,9,6,22,0,0,1479,2007,8,0,1,104,109,0,17031081900_0
17031081900,2007-09-01,2,1.35226504394861,1,1,16,0,0,1479,2007,9,0,1,105,109,0,17031081900_0
17031081900,2007-10-01,11,7.43745774171738,4,7,13,0,0,1479,2007,10,0,1,106,109,0,17031081900_0
17031081900,2007-11-01,7,4.73292765382015,3,4,17,0,0,1479,2007,11,0,1,107,109,0,17031081900_0
17031081900,2007-12-01,4,2.70453008789723,2,2,8,0,0,1479,2007,12,0,1,108,109,0,17031081900_0
17031081900,2008-01-01,4,2.70453008789723,3,1,11,136,136,1479,2008,1,1,1,109,109,1,17031081900_1
17031081900,2008-02-01,8,5.40906017579446,6,2,14,0,136,1479,2008,2,1,1,110,109,1,17031081900_1
17031081900,2008-03-01,7,4.73292765382015,4,3,8,0,136,1479,2008,3,1,1,111,109,1,17031081900_1
17031081900,2008-04-01,3,2.02839756592292,2,1,1,0,136,1479,2008,4,1,1,112,109,1,17031081900_1
17031081900,2008-05-01,8,5.40906017579446,7,1,5,0,136,1479,2008,5,1,1,113,109,1,17031081900_1
17031081900,2008-06-01,5,3.38066260987153,2,3,7,0,136,1479,2008,6,1,1,114,109,1,17031081900_1
17031081900,2008-07-01,4,2.70453008789723,1,3,8,0,136,1479,2008,7,1,1,115,109,1,17031081900_1
17031081900,2008-08-01,5,3.38066260987153,3,2,5,0,136,1479,2008,8,1,1,116,109,1,17031081900_1
17031081900,2008-09-01,6,4.05679513184584,2,4,19,0,136,1479,2008,9,1,1,117,109,1,17031081900_1
17031081900,2008-10-01,4,2.70453008789723,3,1,11,0,136,1479,2008,10,1,1,118,109,1,17031081900_1
17031081900,2008-11-01,5,3.38066260987153,3,2,9,0,136,1479,2008,11,1,1,119,109,1,17031081900_1
17031081900,2008-12-01,3,2.02839756592292,2,1,7,0,136,1479,2008,12,1,1,120,109,1,17031081900_1
17031081900,2009-01-01,0,0,0,0,13,0,136,1479,2009,1,1,1,121,109,1,17031081900_1
17031010100,2007-01-01,18,3.33889816360601,16,2,19,0,0,5391,2007,1,0,0,97,Inf,0,17031010100_0
17031010100,2007-02-01,13,2.41142645149323,12,1,14,0,0,5391,2007,2,0,0,98,Inf,0,17031010100_0
17031010100,2007-03-01,21,3.89538119087368,19,2,26,0,0,5391,2007,3,0,0,99,Inf,0,17031010100_0
17031010100,2007-04-01,12,2.22593210907067,10,2,8,0,0,5391,2007,4,0,0,100,Inf,0,17031010100_0
17031010100,2007-05-01,20,3.70988684845112,19,1,16,0,0,5391,2007,5,0,0,101,Inf,0,17031010100_0
17031010100,2007-06-01,19,3.52439250602857,14,5,18,0,0,5391,2007,6,0,0,102,Inf,0,17031010100_0
17031010100,2007-07-01,23,4.26636987571879,21,2,11,0,0,5391,2007,7,0,0,103,Inf,0,17031010100_0
17031010100,2007-08-01,22,4.08087553329623,18,4,13,0,0,5391,2007,8,0,0,104,Inf,0,17031010100_0
17031010100,2007-09-01,18,3.33889816360601,14,4,18,0,0,5391,2007,9,0,0,105,Inf,0,17031010100_0
17031010100,2007-10-01,24,4.45186421814135,23,1,18,0,0,5391,2007,10,0,0,106,Inf,0,17031010100_0
17031010100,2007-11-01,14,2.59692079391579,12,2,22,0,0,5391,2007,11,0,0,107,Inf,0,17031010100_0
17031010100,2007-12-01,11,2.04043776664812,8,3,13,0,0,5391,2007,12,0,0,108,Inf,0,17031010100_0
17031010100,2008-01-01,16,2.9679094787609,15,1,13,0,0,5391,2008,1,0,0,109,Inf,0,17031010100_0
17031010100,2008-02-01,12,2.22593210907067,10,2,15,0,0,5391,2008,2,0,0,110,Inf,0,17031010100_0
17031010100,2008-03-01,14,2.59692079391579,13,1,14,0,0,5391,2008,3,0,0,111,Inf,0,17031010100_0
17031010100,2008-04-01,29,5.37933593025413,27,2,15,0,0,5391,2008,4,0,0,112,Inf,0,17031010100_0
17031010100,2008-05-01,14,2.59692079391579,10,4,18,0,0,5391,2008,5,0,0,113,Inf,0,17031010100_0
17031010100,2008-06-01,23,4.26636987571879,20,3,14,0,0,5391,2008,6,0,0,114,Inf,0,17031010100_0
17031010100,2008-07-01,39,7.23427935447969,32,7,21,0,0,5391,2008,7,0,0,115,Inf,0,17031010100_0
17031010100,2008-08-01,28,5.19384158783157,23,5,18,0,0,5391,2008,8,0,0,116,Inf,0,17031010100_0
