census_t_1,quarter,year.x,total,econ_crime,violent_crime,drug_crime,no_units,pop,crime_rate,stock_units,log_crime_rate,log_total,log_econ_crime,log_violent_crime,log_drug_crime,diff_log_crime_rate,q_year,time_index,treat_post,treat,treat_change,treat_index,treat_index_max,id
17031380100,1,1999,42,26,11,5,0,1340,31.3432835820896,0,3.44500000432055,3.73766961828337,3.25809653802148,2.39789527279837,1.6094379124341,,1/1999,1,0,1,0,0,0,17031380100_93
17031380100,2,1999,41,31,8,2,0,1340,30.5970149253731,0,3.42090245274149,3.71357206670431,3.43398720448515,2.07944154167984,0.693147180559945,-0.0240975515790605,2/1999,2,0,1,0,0,0,17031380100_93
17031380100,3,1999,51,37,9,5,0,1340,38.0597014925373,0,3.63915601876151,3.93182563272433,3.61091791264422,2.19722457733622,1.6094379124341,0.218253566020018,3/1999,3,0,1,0,0,0,17031380100_93
17031380100,4,1999,47,33,7,7,0,1340,35.0746268656717,0,3.55747798774724,3.85014760171006,3.49650756146648,1.94591014905531,1.94591014905531,-0.0816780310142669,4/1999,4,0,1,0,0,0,17031380100_93
17031380100,1,2000,40,22,2,16,0,1340,29.8507462686567,0,3.39620984015112,3.68887945411394,3.09104245335832,0.693147180559945,2.77258872223978,-0.161268147596122,1/2000,5,0,1,0,0,0,17031380100_93
17031380100,2,2000,57,38,6,13,0,1340,42.5373134328358,0,3.75038165387173,4.04305126783455,3.63758615972639,1.79175946922806,2.56494935746154,0.354171813720614,2/2000,6,0,1,0,0,0,17031380100_93
17031380100,3,2000,56,35,13,8,0,1340,41.7910447761194,0,3.73268207677233,4.02535169073515,3.55534806148941,2.56494935746154,2.07944154167984,-0.0176995770994006,3/2000,7,0,1,0,0,0,17031380100_93
17031380100,4,2000,68,38,14,16,0,1340,50.7462686567164,0,3.92683809121329,4.21950770517611,3.63758615972639,2.63905732961526,2.77258872223978,0.194156014440957,4/2000,8,0,1,0,0,0,17031380100_93
17031380100,1,2001,30,20,5,5,0,1340,22.3880597014925,0,3.10852776769934,3.40119738166216,2.99573227355399,1.6094379124341,1.6094379124341,-0.818310323513952,1/2001,9,0,1,0,0,0,17031380100_93
17031380100,2,2001,52,26,15,11,0,1340,38.8059701492537,0,3.65857410461861,3.95124371858143,3.25809653802148,2.70805020110221,2.39789527279837,0.550046336919272,2/2001,10,0,1,0,0,0,17031380100_93
17031380100,3,2001,44,25,9,10,0,1340,32.8358208955224,0,3.49152001995544,3.78418963391826,3.2188758248682,2.19722457733622,2.30258509299405,-0.167054084663166,3/2001,11,0,1,0,0,0,17031380100_93
17031380100,4,2001,45,32,9,4,0,1340,33.5820895522388,0,3.5139928758075,3.80666248977032,3.46573590279973,2.19722457733622,1.38629436111989,0.0224728558520586,4/2001,12,0,1,0,0,0,17031380100_93
17031380100,1,2002,51,24,7,20,0,1340,38.0597014925373,0,3.63915601876151,3.93182563272433,3.17805383034795,1.94591014905531,2.99573227355399,0.125163142954006,1/2002,13,0,1,0,0,0,17031380100_93
17031380100,2,2002,43,24,7,12,0,1340,32.089552238806,0,3.46853050173074,3.76120011569356,3.17805383034795,1.94591014905531,2.484906649788,-0.170625517030763,2/2002,14,0,1,0,0,0,17031380100_93
17031380100,3,2002,66,41,14,11,0,1340,49.2537313432836,0,3.89698512806361,4.18965474202643,3.71357206670431,2.63905732961526,2.39789527279837,0.428454626332863,3/2002,15,0,1,0,0,0,17031380100_93
17031380100,4,2002,45,26,6,13,48,1340,33.5820895522388,48,3.5139928758075,3.80666248977032,3.25809653802148,1.79175946922806,2.56494935746154,-0.382992252256106,4/2002,16,1,1,1,1,33,17031380100_93
17031380100,1,2003,30,13,8,9,0,1340,22.3880597014925,48,3.10852776769934,3.40119738166216,2.56494935746154,2.07944154167984,2.19722457733622,-0.405465108108165,1/2003,17,1,1,1,2,33,17031380100_93
17031380100,2,2003,50,35,6,9,0,1340,37.3134328358209,48,3.61935339146533,3.91202300542815,3.55534806148941,1.79175946922806,2.19722457733622,0.510825623765991,2/2003,18,1,1,1,3,33,17031380100_93
17031380100,3,2003,60,52,5,3,0,1340,44.7761194029851,48,3.80167494825928,4.0943445622221,3.95124371858143,1.6094379124341,1.09861228866811,0.182321556793955,3/2003,19,1,1,1,4,33,17031380100_93
17031380100,4,2003,42,36,3,3,0,1340,31.3432835820896,48,3.44500000432055,3.73766961828337,3.58351893845611,1.09861228866811,1.09861228866811,-0.356674943938732,4/2003,20,1,1,1,5,33,17031380100_93
