monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
3,2001,550100,26,20,6,12
4,2001,550100,19,18,1,2
5,2001,550100,16,12,4,0
6,2001,550100,29,24,5,7
7,2001,550100,16,13,3,0
8,2001,550100,18,15,3,5
9,2001,550100,23,22,1,3
10,2001,550100,22,19,3,2
11,2001,550100,23,18,5,7
12,2001,550100,21,19,2,3
1,2002,550100,16,14,2,1
2,2002,550100,15,14,1,3
3,2002,550100,16,14,2,1
4,2002,550100,14,9,5,3
5,2002,550100,18,14,4,2
6,2002,550100,26,22,4,3
7,2002,550100,26,24,2,5
8,2002,550100,17,16,1,1
9,2002,550100,21,18,3,3
10,2002,550100,21,19,2,2
11,2002,550100,20,20,0,0
12,2002,550100,15,15,0,0
1,2003,550100,14,12,2,2
2,2003,550100,12,11,1,4
3,2003,550100,19,15,4,8
4,2003,550100,19,18,1,2
5,2003,550100,19,13,6,3
6,2003,550100,20,16,4,0
7,2003,550100,19,15,4,6
8,2003,550100,24,21,3,12
9,2003,550100,29,28,1,4
10,2003,550100,14,12,2,1
11,2003,550100,19,17,2,6
12,2003,550100,20,20,0,7
1,2004,550100,22,21,1,0
2,2004,550100,18,17,1,1
3,2004,550100,16,14,2,8
4,2004,550100,17,16,1,10
5,2004,550100,28,18,10,6
6,2004,550100,36,29,7,1
7,2004,550100,26,24,2,9
8,2004,550100,20,17,3,7
9,2004,550100,19,16,3,5
10,2004,550100,15,13,2,3
11,2004,550100,18,14,4,9
12,2004,550100,15,15,0,1
1,2005,550100,13,12,1,9
2,2005,550100,19,17,2,10
3,2005,550100,12,10,2,5
4,2005,550100,24,21,3,5
5,2005,550100,17,15,2,1
6,2005,550100,19,16,3,1
7,2005,550100,19,17,2,2
8,2005,550100,17,16,1,4
9,2005,550100,17,13,4,3
10,2005,550100,14,13,1,3
11,2005,550100,18,18,0,5
12,2005,550100,10,8,2,4
1,2006,550100,24,24,0,7
2,2006,550100,17,16,1,4
3,2006,550100,23,22,1,2
4,2006,550100,10,8,2,1
5,2006,550100,18,15,3,7
6,2006,550100,20,16,4,3
7,2006,550100,18,16,2,9
8,2006,550100,28,26,2,3
9,2006,550100,14,12,2,7
10,2006,550100,17,14,3,2
11,2006,550100,25,21,4,1
12,2006,550100,25,22,3,3
1,2007,550100,17,17,0,7
2,2007,550100,10,10,0,5
3,2007,550100,18,14,4,2
4,2007,550100,18,12,6,3
5,2007,550100,20,18,2,6
6,2007,550100,19,14,5,2
7,2007,550100,25,23,2,1
8,2007,550100,18,13,5,5
9,2007,550100,24,20,4,3
10,2007,550100,22,18,4,1
11,2007,550100,19,17,2,4
12,2007,550100,10,9,1,0
1,2008,550100,14,13,1,11
2,2008,550100,11,10,1,15
3,2008,550100,19,13,6,5
4,2008,550100,14,10,4,6
5,2008,550100,27,19,8,3
6,2008,550100,15,15,0,1
