monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
11,2010,841800,17,13,4,2
12,2010,841800,18,17,1,5
1,2011,841800,11,9,2,14
2,2011,841800,8,6,2,3
1,1999,430400,25,18,7,4
2,1999,430400,21,14,7,10
3,1999,430400,27,18,9,2
4,1999,430400,26,21,5,17
5,1999,430400,26,23,3,2
6,1999,430400,24,19,5,9
7,1999,430400,28,20,8,8
8,1999,430400,27,21,6,9
9,1999,430400,22,17,5,11
10,1999,430400,16,16,0,9
11,1999,430400,20,17,3,8
12,1999,430400,17,14,3,1
1,2000,430400,31,25,6,6
2,2000,430400,26,18,8,11
3,2000,430400,25,14,11,13
4,2000,430400,27,21,6,12
5,2000,430400,20,14,6,11
6,2000,430400,29,15,14,2
7,2000,430400,28,22,6,3
8,2000,430400,22,15,7,5
9,2000,430400,29,24,5,9
10,2000,430400,24,15,9,2
11,2000,430400,25,19,6,4
12,2000,430400,18,14,4,5
1,2001,430400,18,15,3,10
2,2001,430400,22,16,6,6
3,2001,430400,25,17,8,5
4,2001,430400,20,7,13,2
5,2001,430400,22,17,5,7
6,2001,430400,31,19,12,5
7,2001,430400,26,16,10,6
8,2001,430400,19,14,5,2
9,2001,430400,24,18,6,14
10,2001,430400,24,20,4,4
11,2001,430400,17,13,4,4
12,2001,430400,21,16,5,7
1,2002,430400,17,16,1,7
2,2002,430400,29,23,6,18
3,2002,430400,21,17,4,6
4,2002,430400,22,18,4,5
5,2002,430400,30,20,10,7
6,2002,430400,23,17,6,4
7,2002,430400,33,19,14,6
8,2002,430400,22,18,4,12
9,2002,430400,19,13,6,8
10,2002,430400,24,16,8,5
11,2002,430400,19,17,2,5
12,2002,430400,26,20,6,9
1,2003,430400,24,22,2,8
2,2003,430400,24,20,4,10
3,2003,430400,20,15,5,8
4,2003,430400,31,28,3,10
5,2003,430400,16,11,5,10
6,2003,430400,19,13,6,7
7,2003,430400,15,11,4,5
8,2003,430400,30,22,8,9
9,2003,430400,18,13,5,7
10,2003,430400,30,19,11,7
11,2003,430400,21,13,8,6
12,2003,430400,23,20,3,5
1,2004,430400,23,19,4,12
2,2004,430400,21,17,4,5
3,2004,430400,25,22,3,6
4,2004,430400,31,26,5,11
5,2004,430400,39,32,7,9
6,2004,430400,26,23,3,11
7,2004,430400,22,16,6,13
8,2004,430400,31,23,8,19
9,2004,430400,26,21,5,19
10,2004,430400,17,13,4,16
11,2004,430400,26,22,4,3
12,2004,430400,19,15,4,11
1,2005,430400,15,12,3,6
2,2005,430400,17,14,3,6
3,2005,430400,23,20,3,11
4,2005,430400,25,19,6,11
5,2005,430400,31,27,4,11
6,2005,430400,38,34,4,8
7,2005,430400,34,31,3,22
8,2005,430400,33,28,5,7
9,2005,430400,30,25,5,7
10,2005,430400,30,26,4,9
11,2005,430400,18,17,1,7
12,2005,430400,20,18,2,4
1,2006,430400,15,11,4,6
2,2006,430400,16,9,7,6
3,2006,430400,26,21,5,15
4,2006,430400,30,26,4,9
5,2006,430400,36,34,2,13
6,2006,430400,27,26,1,13
7,2006,430400,36,29,7,9
8,2006,430400,38,35,3,14
9,2006,430400,19,13,6,17
10,2006,430400,21,17,4,12
11,2006,430400,17,15,2,8
12,2006,430400,19,15,4,16
1,2007,430400,18,12,6,9
2,2007,430400,21,14,7,5
3,2007,430400,26,22,4,7
4,2007,430400,27,22,5,6
5,2007,430400,28,26,2,6
6,2007,430400,20,17,3,9
7,2007,430400,25,19,6,27
8,2007,430400,32,21,11,10
9,2007,430400,19,15,4,14
10,2007,430400,30,24,6,14
11,2007,430400,21,19,2,8
12,2007,430400,21,19,2,3
1,2008,430400,32,28,4,2
2,2008,430400,33,27,6,9
3,2008,430400,29,25,4,5
4,2008,430400,44,39,5,4
5,2008,430400,33,32,1,7
6,2008,430400,36,27,9,3
7,2008,430400,38,34,4,5
8,2008,430400,32,29,3,4
9,2008,430400,40,35,5,6
10,2008,430400,44,37,7,12
11,2008,430400,35,31,4,5
12,2008,430400,19,18,1,2
1,2009,430400,27,22,5,3
2,2009,430400,16,11,5,10
3,2009,430400,19,15,4,4
4,2009,430400,21,20,1,1
5,2009,430400,25,17,8,4
6,2009,430400,32,27,5,3
7,2009,430400,21,16,5,6
8,2009,430400,27,20,7,3
9,2009,430400,20,14,6,6
10,2009,430400,27,22,5,11
11,2009,430400,20,19,1,10
12,2009,430400,34,27,7,4
1,2010,430400,16,14,2,9
2,2010,430400,15,13,2,7
3,2010,430400,16,15,1,5
4,2010,430400,20,16,4,4
5,2010,430400,24,21,3,5
6,2010,430400,45,41,4,6
7,2010,430400,54,40,14,9
8,2010,430400,36,32,4,6
9,2010,430400,25,22,3,3
10,2010,430400,21,18,3,1
11,2010,430400,16,11,5,4
12,2010,430400,20,18,2,1
1,2011,430400,18,14,4,7
2,2011,430400,10,6,4,7
1,1999,430900,60,58,2,3
2,1999,430900,48,40,8,2
3,1999,430900,58,55,3,3
4,1999,430900,52,49,3,7
5,1999,430900,65,58,7,10
6,1999,430900,62,52,10,7
7,1999,430900,53,51,2,4
8,1999,430900,75,69,6,4
9,1999,430900,52,47,5,3
10,1999,430900,43,39,4,7
11,1999,430900,55,47,8,1
12,1999,430900,65,57,8,0
1,2000,430900,41,38,3,3
2,2000,430900,28,23,5,3
3,2000,430900,56,53,3,9
4,2000,430900,39,36,3,9
5,2000,430900,50,46,4,4
6,2000,430900,41,38,3,6
7,2000,430900,57,50,7,9
8,2000,430900,51,46,5,1
9,2000,430900,35,32,3,6
10,2000,430900,62,55,7,6
11,2000,430900,63,62,1,2
12,2000,430900,55,49,6,3
1,2001,430900,59,54,5,4
2,2001,430900,45,42,3,5
3,2001,430900,39,34,5,0
4,2001,430900,42,39,3,4
5,2001,430900,51,46,5,2
6,2001,430900,34,28,6,6
7,2001,430900,36,32,4,2
8,2001,430900,38,36,2,1
9,2001,430900,45,44,1,2
10,2001,430900,38,36,2,5
11,2001,430900,35,33,2,0
12,2001,430900,42,41,1,4
1,2002,430900,45,45,0,3
2,2002,430900,29,27,2,2
3,2002,430900,44,40,4,6
4,2002,430900,36,33,3,4
5,2002,430900,41,38,3,1
6,2002,430900,34,28,6,0
7,2002,430900,44,37,7,2
8,2002,430900,36,33,3,6
9,2002,430900,39,32,7,2
10,2002,430900,48,39,9,2
11,2002,430900,34,33,1,5
12,2002,430900,57,55,2,2
1,2003,430900,46,43,3,3
2,2003,430900,30,29,1,4
3,2003,430900,45,40,5,4
4,2003,430900,32,30,2,7
5,2003,430900,46,42,4,0
6,2003,430900,57,54,3,2
7,2003,430900,43,39,4,1
8,2003,430900,45,39,6,7
9,2003,430900,41,34,7,1
10,2003,430900,35,27,8,3
11,2003,430900,38,35,3,3
12,2003,430900,35,30,5,0
1,2004,430900,37,31,6,4
2,2004,430900,29,27,2,4
3,2004,430900,38,33,5,3
4,2004,430900,43,36,7,3
5,2004,430900,43,35,8,2
6,2004,430900,40,37,3,4
7,2004,430900,30,26,4,5
8,2004,430900,33,33,0,4
9,2004,430900,35,29,6,4
10,2004,430900,32,30,2,12
11,2004,430900,29,28,1,0
12,2004,430900,39,35,4,3
1,2005,430900,28,22,6,1
2,2005,430900,31,26,5,7
3,2005,430900,33,28,5,8
4,2005,430900,46,38,8,2
5,2005,430900,37,35,2,9
6,2005,430900,36,35,1,5
7,2005,430900,42,40,2,2
8,2005,430900,49,44,5,4
9,2005,430900,35,30,5,5
10,2005,430900,35,35,0,2
11,2005,430900,30,28,2,2
12,2005,430900,28,26,2,5
1,2006,430900,32,29,3,3
2,2006,430900,28,27,1,3
3,2006,430900,34,33,1,9
4,2006,430900,35,33,2,3
5,2006,430900,32,30,2,10
6,2006,430900,38,35,3,16
7,2006,430900,37,33,4,10
8,2006,430900,38,33,5,15
9,2006,430900,22,21,1,8
10,2006,430900,37,32,5,6
11,2006,430900,37,32,5,4
12,2006,430900,33,30,3,2
1,2007,430900,25,23,2,6
2,2007,430900,26,23,3,13
3,2007,430900,26,24,2,7
4,2007,430900,29,25,4,13
5,2007,430900,40,37,3,11
6,2007,430900,32,30,2,7
7,2007,430900,29,24,5,3
8,2007,430900,35,31,4,2
9,2007,430900,42,35,7,2
10,2007,430900,36,32,4,5
11,2007,430900,45,45,0,3
12,2007,430900,42,36,6,4
1,2008,430900,49,42,7,4
2,2008,430900,38,35,3,3
3,2008,430900,39,36,3,3
4,2008,430900,36,31,5,2
5,2008,430900,39,30,9,3
6,2008,430900,25,24,1,3
7,2008,430900,43,36,7,2
8,2008,430900,33,28,5,6
9,2008,430900,38,35,3,2
10,2008,430900,41,37,4,12
11,2008,430900,27,24,3,1
12,2008,430900,19,18,1,7
1,2009,430900,25,23,2,7
2,2009,430900,27,24,3,4
3,2009,430900,24,21,3,7
4,2009,430900,28,23,5,8
5,2009,430900,37,34,3,2
6,2009,430900,32,28,4,3
7,2009,430900,35,32,3,5
8,2009,430900,33,25,8,3
9,2009,430900,32,27,5,3
10,2009,430900,25,21,4,6
11,2009,430900,38,36,2,3
12,2009,430900,27,24,3,1
1,2010,430900,31,28,3,0
2,2010,430900,16,16,0,5
3,2010,430900,29,25,4,4
4,2010,430900,36,31,5,5
5,2010,430900,41,33,8,5
6,2010,430900,33,31,2,4
7,2010,430900,24,24,0,2
8,2010,430900,38,37,1,4
9,2010,430900,25,23,2,3
10,2010,430900,33,29,4,1
11,2010,430900,34,31,3,0
12,2010,430900,31,31,0,1
1,2011,430900,29,24,5,3
2,2011,430900,16,14,2,3
1,1999,430800,16,14,2,6
2,1999,430800,11,9,2,5
3,1999,430800,17,15,2,7
4,1999,430800,14,11,3,6
5,1999,430800,12,9,3,5
6,1999,430800,13,12,1,5
7,1999,430800,12,11,1,1
8,1999,430800,16,15,1,2
9,1999,430800,15,9,6,2
10,1999,430800,17,14,3,3
11,1999,430800,23,23,0,3
12,1999,430800,16,12,4,1
1,2000,430800,14,12,2,5
2,2000,430800,17,16,1,2
3,2000,430800,9,9,0,3
4,2000,430800,14,9,5,3
5,2000,430800,12,10,2,3
6,2000,430800,16,14,2,4
7,2000,430800,11,10,1,3
8,2000,430800,15,14,1,2
9,2000,430800,15,14,1,2
10,2000,430800,10,9,1,2
11,2000,430800,19,15,4,2
12,2000,430800,15,13,2,0
1,2001,430800,11,10,1,2
2,2001,430800,8,6,2,1
3,2001,430800,11,9,2,1
4,2001,430800,6,5,1,3
5,2001,430800,20,19,1,5
6,2001,430800,14,13,1,3
7,2001,430800,20,17,3,4
8,2001,430800,10,8,2,7
9,2001,430800,19,15,4,6
10,2001,430800,17,12,5,4
11,2001,430800,19,16,3,1
12,2001,430800,5,4,1,0
1,2002,430800,10,8,2,2
2,2002,430800,12,11,1,2
3,2002,430800,14,13,1,3
4,2002,430800,11,11,0,0
5,2002,430800,10,7,3,4
6,2002,430800,13,11,2,3
7,2002,430800,18,14,4,2
8,2002,430800,16,13,3,5
9,2002,430800,14,11,3,3
10,2002,430800,15,13,2,7
11,2002,430800,16,14,2,6
12,2002,430800,20,16,4,0
1,2003,430800,11,9,2,0
2,2003,430800,7,7,0,1
3,2003,430800,14,12,2,1
4,2003,430800,23,20,3,2
5,2003,430800,14,11,3,4
6,2003,430800,11,10,1,2
7,2003,430800,22,16,6,3
8,2003,430800,20,16,4,5
9,2003,430800,14,13,1,1
10,2003,430800,12,8,4,0
11,2003,430800,22,19,3,3
12,2003,430800,15,12,3,3
1,2004,430800,8,7,1,5
2,2004,430800,6,6,0,0
3,2004,430800,21,18,3,1
4,2004,430800,20,19,1,1
5,2004,430800,15,11,4,5
6,2004,430800,25,22,3,4
7,2004,430800,21,15,6,2
8,2004,430800,8,8,0,3
9,2004,430800,14,12,2,0
10,2004,430800,7,7,0,3
11,2004,430800,12,12,0,2
12,2004,430800,7,6,1,0
1,2005,430800,8,7,1,15
2,2005,430800,11,11,0,13
3,2005,430800,18,16,2,3
4,2005,430800,10,6,4,4
5,2005,430800,13,11,2,1
6,2005,430800,15,11,4,1
7,2005,430800,14,12,2,0
8,2005,430800,8,7,1,2
9,2005,430800,13,13,0,0
10,2005,430800,20,17,3,3
11,2005,430800,14,10,4,4
12,2005,430800,10,9,1,4
1,2006,430800,5,4,1,2
2,2006,430800,3,2,1,0
3,2006,430800,12,11,1,5
4,2006,430800,16,12,4,1
5,2006,430800,10,8,2,1
6,2006,430800,13,11,2,7
7,2006,430800,16,11,5,1
8,2006,430800,16,16,0,2
9,2006,430800,12,11,1,0
10,2006,430800,19,16,3,3
11,2006,430800,15,13,2,2
12,2006,430800,15,14,1,4
1,2007,430800,15,13,2,1
2,2007,430800,7,7,0,0
3,2007,430800,5,3,2,7
4,2007,430800,9,8,1,1
5,2007,430800,15,9,6,8
6,2007,430800,13,12,1,5
7,2007,430800,11,10,1,7
8,2007,430800,10,10,0,4
9,2007,430800,7,7,0,3
10,2007,430800,17,15,2,8
11,2007,430800,12,11,1,5
12,2007,430800,14,12,2,2
1,2008,430800,19,17,2,3
2,2008,430800,7,7,0,2
3,2008,430800,11,9,2,6
4,2008,430800,16,15,1,3
5,2008,430800,14,13,1,3
6,2008,430800,15,14,1,1
7,2008,430800,17,16,1,5
8,2008,430800,17,15,2,2
9,2008,430800,20,18,2,1
10,2008,430800,7,7,0,7
11,2008,430800,13,12,1,5
12,2008,430800,10,10,0,0
1,2009,430800,11,10,1,2
2,2009,430800,8,7,1,4
3,2009,430800,10,8,2,9
4,2009,430800,10,10,0,7
5,2009,430800,12,10,2,3
6,2009,430800,11,7,4,5
7,2009,430800,14,11,3,5
8,2009,430800,17,15,2,1
9,2009,430800,9,7,2,6
10,2009,430800,6,6,0,7
11,2009,430800,12,11,1,9
12,2009,430800,11,7,4,2
1,2010,430800,8,7,1,8
2,2010,430800,11,10,1,4
3,2010,430800,14,11,3,6
4,2010,430800,7,7,0,7
5,2010,430800,9,8,1,5
6,2010,430800,8,8,0,7
7,2010,430800,12,8,4,3
8,2010,430800,16,14,2,1
9,2010,430800,11,10,1,2
10,2010,430800,7,6,1,1
11,2010,430800,13,10,3,2
12,2010,430800,8,7,1,2
1,2011,430800,10,9,1,2
2,2011,430800,2,2,0,0
1,1999,671900,7,6,1,5
2,1999,671900,7,4,3,4
3,1999,671900,8,4,4,0
4,1999,671900,6,4,2,1
5,1999,671900,10,7,3,1
6,1999,671900,13,11,2,3
7,1999,671900,13,9,4,0
8,1999,671900,15,13,2,3
9,1999,671900,7,5,2,0
10,1999,671900,10,9,1,0
11,1999,671900,6,6,0,1
12,1999,671900,5,2,3,3
1,2000,671900,5,5,0,4
2,2000,671900,2,1,1,2
3,2000,671900,5,4,1,2
4,2000,671900,14,10,4,3
5,2000,671900,9,6,3,2
6,2000,671900,10,9,1,1
7,2000,671900,8,5,3,1
8,2000,671900,9,8,1,0
9,2000,671900,8,7,1,1
10,2000,671900,20,17,3,1
11,2000,671900,11,10,1,5
12,2000,671900,6,5,1,1
1,2001,671900,12,11,1,5
2,2001,671900,3,3,0,0
3,2001,671900,5,5,0,0
4,2001,671900,4,3,1,1
5,2001,671900,9,6,3,1
6,2001,671900,5,5,0,4
7,2001,671900,7,5,2,4
8,2001,671900,11,11,0,7
9,2001,671900,16,12,4,0
10,2001,671900,12,12,0,3
11,2001,671900,12,9,3,2
12,2001,671900,5,5,0,1
1,2002,671900,9,6,3,0
2,2002,671900,3,1,2,1
3,2002,671900,10,7,3,2
4,2002,671900,9,7,2,4
5,2002,671900,9,6,3,6
6,2002,671900,17,10,7,1
7,2002,671900,6,5,1,0
8,2002,671900,6,4,2,7
9,2002,671900,11,9,2,5
10,2002,671900,13,9,4,2
11,2002,671900,8,8,0,0
12,2002,671900,5,4,1,1
1,2003,671900,13,11,2,4
2,2003,671900,8,6,2,1
3,2003,671900,12,12,0,2
4,2003,671900,11,9,2,4
5,2003,671900,1,1,0,9
6,2003,671900,10,8,2,3
7,2003,671900,11,10,1,2
8,2003,671900,11,9,2,1
9,2003,671900,8,7,1,0
10,2003,671900,8,7,1,2
11,2003,671900,7,6,1,0
12,2003,671900,10,8,2,1
1,2004,671900,5,5,0,1
2,2004,671900,10,10,0,5
3,2004,671900,12,11,1,3
4,2004,671900,14,11,3,3
5,2004,671900,11,8,3,4
6,2004,671900,5,3,2,4
7,2004,671900,11,8,3,1
8,2004,671900,9,8,1,1
9,2004,671900,5,4,1,5
10,2004,671900,5,4,1,0
11,2004,671900,7,6,1,2
12,2004,671900,10,9,1,0
1,2005,671900,5,4,1,4
2,2005,671900,7,7,0,2
3,2005,671900,5,5,0,1
4,2005,671900,5,4,1,0
5,2005,671900,6,5,1,4
6,2005,671900,7,6,1,2
7,2005,671900,11,7,4,2
8,2005,671900,8,7,1,0
9,2005,671900,7,6,1,0
10,2005,671900,13,13,0,1
11,2005,671900,6,6,0,1
12,2005,671900,7,7,0,2
1,2006,671900,7,5,2,2
2,2006,671900,4,4,0,1
3,2006,671900,12,10,2,4
4,2006,671900,9,8,1,2
5,2006,671900,2,2,0,2
6,2006,671900,3,2,1,1
7,2006,671900,12,9,3,4
8,2006,671900,10,9,1,4
9,2006,671900,4,4,0,2
10,2006,671900,14,11,3,0
11,2006,671900,6,6,0,3
12,2006,671900,5,3,2,3
1,2007,671900,5,5,0,1
2,2007,671900,1,0,1,1
3,2007,671900,13,11,2,0
4,2007,671900,14,10,4,4
5,2007,671900,5,4,1,0
6,2007,671900,6,5,1,7
7,2007,671900,8,6,2,6
8,2007,671900,4,3,1,1
9,2007,671900,13,11,2,1
10,2007,671900,6,6,0,0
11,2007,671900,8,7,1,2
12,2007,671900,7,6,1,0
1,2008,671900,7,6,1,2
2,2008,671900,10,7,3,1
3,2008,671900,5,4,1,1
4,2008,671900,9,8,1,1
5,2008,671900,7,6,1,1
6,2008,671900,6,6,0,2
7,2008,671900,15,11,4,3
8,2008,671900,17,14,3,2
9,2008,671900,6,6,0,2
10,2008,671900,16,14,2,2
11,2008,671900,14,14,0,1
12,2008,671900,11,10,1,4
1,2009,671900,5,5,0,1
2,2009,671900,1,1,0,2
3,2009,671900,5,4,1,1
4,2009,671900,6,6,0,1
5,2009,671900,20,19,1,3
6,2009,671900,7,6,1,2
7,2009,671900,14,10,4,2
8,2009,671900,12,11,1,4
9,2009,671900,18,18,0,1
10,2009,671900,9,9,0,1
11,2009,671900,15,15,0,2
12,2009,671900,8,8,0,1
1,2010,671900,9,7,2,1
2,2010,671900,5,5,0,3
3,2010,671900,14,11,3,3
4,2010,671900,10,9,1,2
5,2010,671900,6,4,2,2
6,2010,671900,7,7,0,6
7,2010,671900,11,10,1,1
8,2010,671900,12,11,1,1
9,2010,671900,13,8,5,1
10,2010,671900,13,12,1,2
11,2010,671900,19,15,4,1
12,2010,671900,11,10,1,3
1,2011,671900,3,1,2,2
2,2011,671900,4,4,0,2
1,1999,671800,9,6,3,7
2,1999,671800,9,7,2,4
3,1999,671800,18,13,5,9
4,1999,671800,10,7,3,8
5,1999,671800,18,13,5,2
6,1999,671800,13,9,4,1
7,1999,671800,22,18,4,0
8,1999,671800,15,11,4,1
9,1999,671800,9,7,2,2
10,1999,671800,9,4,5,2
11,1999,671800,6,6,0,3
12,1999,671800,7,7,0,2
1,2000,671800,7,5,2,1
2,2000,671800,12,8,4,1
3,2000,671800,14,11,3,6
4,2000,671800,15,10,5,1
5,2000,671800,10,6,4,2
6,2000,671800,8,7,1,0
7,2000,671800,20,16,4,1
8,2000,671800,14,9,5,2
9,2000,671800,16,11,5,2
10,2000,671800,10,9,1,0
11,2000,671800,10,7,3,2
12,2000,671800,9,8,1,4
1,2001,671800,19,17,2,0
2,2001,671800,10,9,1,2
3,2001,671800,12,8,4,6
4,2001,671800,11,10,1,2
5,2001,671800,8,7,1,3
6,2001,671800,11,9,2,0
7,2001,671800,13,9,4,0
8,2001,671800,13,12,1,0
9,2001,671800,13,10,3,0
10,2001,671800,19,17,2,3
11,2001,671800,15,9,6,2
12,2001,671800,10,10,0,2
1,2002,671800,22,17,5,0
2,2002,671800,7,4,3,0
3,2002,671800,16,13,3,3
4,2002,671800,14,11,3,0
5,2002,671800,12,10,2,0
6,2002,671800,10,9,1,2
7,2002,671800,11,10,1,0
8,2002,671800,8,6,2,0
9,2002,671800,14,9,5,1
10,2002,671800,9,8,1,1
11,2002,671800,15,9,6,6
12,2002,671800,16,13,3,3
1,2003,671800,11,10,1,3
2,2003,671800,10,10,0,3
3,2003,671800,17,12,5,1
4,2003,671800,10,10,0,2
5,2003,671800,9,7,2,3
6,2003,671800,10,9,1,1
7,2003,671800,10,8,2,0
8,2003,671800,16,12,4,1
9,2003,671800,12,11,1,0
10,2003,671800,12,10,2,1
11,2003,671800,11,10,1,2
12,2003,671800,8,8,0,2
1,2004,671800,7,5,2,1
2,2004,671800,10,10,0,2
3,2004,671800,8,7,1,6
4,2004,671800,13,7,6,0
5,2004,671800,13,9,4,3
6,2004,671800,12,10,2,0
7,2004,671800,14,10,4,4
8,2004,671800,14,13,1,4
9,2004,671800,10,8,2,4
10,2004,671800,12,8,4,2
11,2004,671800,9,7,2,0
12,2004,671800,9,8,1,0
1,2005,671800,7,6,1,3
2,2005,671800,10,9,1,4
3,2005,671800,11,7,4,2
4,2005,671800,14,11,3,2
5,2005,671800,16,10,6,4
6,2005,671800,7,5,2,3
7,2005,671800,15,11,4,0
8,2005,671800,13,12,1,3
9,2005,671800,11,7,4,2
10,2005,671800,14,11,3,1
11,2005,671800,13,11,2,1
12,2005,671800,9,9,0,1
1,2006,671800,12,11,1,10
2,2006,671800,9,8,1,0
3,2006,671800,9,9,0,9
4,2006,671800,10,8,2,3
5,2006,671800,26,20,6,2
6,2006,671800,14,12,2,1
7,2006,671800,12,12,0,0
8,2006,671800,11,9,2,3
9,2006,671800,7,4,3,0
10,2006,671800,6,3,3,3
11,2006,671800,11,11,0,6
12,2006,671800,8,5,3,1
1,2007,671800,10,8,2,0
2,2007,671800,4,3,1,0
3,2007,671800,7,6,1,1
4,2007,671800,13,11,2,3
5,2007,671800,11,10,1,3
6,2007,671800,17,15,2,6
7,2007,671800,7,5,2,1
8,2007,671800,9,7,2,4
9,2007,671800,10,7,3,2
10,2007,671800,14,13,1,2
11,2007,671800,6,6,0,1
12,2007,671800,8,7,1,1
1,2008,671800,14,13,1,5
2,2008,671800,7,6,1,2
3,2008,671800,11,10,1,3
4,2008,671800,14,11,3,2
5,2008,671800,9,6,3,6
6,2008,671800,12,12,0,2
7,2008,671800,12,10,2,2
8,2008,671800,18,14,4,3
9,2008,671800,7,6,1,10
10,2008,671800,11,11,0,7
11,2008,671800,7,6,1,0
12,2008,671800,9,8,1,6
1,2009,671800,9,8,1,7
2,2009,671800,12,11,1,2
3,2009,671800,11,9,2,2
4,2009,671800,8,7,1,1
5,2009,671800,6,4,2,6
6,2009,671800,18,17,1,0
7,2009,671800,18,14,4,3
8,2009,671800,12,11,1,1
9,2009,671800,11,10,1,0
10,2009,671800,15,13,2,4
11,2009,671800,11,11,0,2
12,2009,671800,6,6,0,1
1,2010,671800,9,7,2,1
2,2010,671800,6,5,1,5
3,2010,671800,10,8,2,3
4,2010,671800,5,4,1,3
5,2010,671800,6,6,0,3
6,2010,671800,8,7,1,2
7,2010,671800,16,12,4,2
8,2010,671800,9,7,2,1
9,2010,671800,14,11,3,2
10,2010,671800,14,13,1,1
11,2010,671800,7,6,1,3
12,2010,671800,7,6,1,4
1,2011,671800,7,4,3,3
2,2011,671800,4,4,0,1
1,1999,650400,10,8,2,0
2,1999,650400,9,9,0,0
3,1999,650400,12,11,1,1
4,1999,650400,8,7,1,0
5,1999,650400,7,5,2,0
6,1999,650400,8,7,1,2
7,1999,650400,10,10,0,2
8,1999,650400,10,8,2,1
9,1999,650400,9,8,1,3
10,1999,650400,14,13,1,1
11,1999,650400,10,9,1,0
12,1999,650400,7,7,0,0
1,2000,650400,12,9,3,0
2,2000,650400,7,7,0,0
3,2000,650400,12,11,1,0
4,2000,650400,12,10,2,0
5,2000,650400,12,9,3,0
6,2000,650400,17,11,6,0
7,2000,650400,18,16,2,0
8,2000,650400,16,14,2,1
9,2000,650400,9,9,0,2
10,2000,650400,19,19,0,1
11,2000,650400,6,6,0,3
12,2000,650400,7,7,0,1
1,2001,650400,8,8,0,0
2,2001,650400,6,4,2,0
3,2001,650400,7,5,2,1
4,2001,650400,5,2,3,0
5,2001,650400,6,5,1,0
6,2001,650400,9,7,2,0
7,2001,650400,11,9,2,0
8,2001,650400,13,12,1,1
9,2001,650400,16,15,1,0
10,2001,650400,19,17,2,1
11,2001,650400,32,30,2,0
12,2001,650400,17,16,1,0
1,2002,650400,12,10,2,1
2,2002,650400,14,12,2,0
3,2002,650400,13,13,0,2
4,2002,650400,10,9,1,1
5,2002,650400,15,12,3,0
6,2002,650400,9,8,1,0
7,2002,650400,11,8,3,0
8,2002,650400,13,10,3,0
9,2002,650400,14,13,1,0
10,2002,650400,14,11,3,1
11,2002,650400,5,4,1,2
12,2002,650400,12,12,0,0
1,2003,650400,5,5,0,1
2,2003,650400,8,8,0,0
3,2003,650400,17,13,4,0
4,2003,650400,10,10,0,0
5,2003,650400,16,16,0,0
6,2003,650400,14,11,3,0
7,2003,650400,14,13,1,1
8,2003,650400,15,13,2,1
9,2003,650400,16,14,2,1
10,2003,650400,20,18,2,2
11,2003,650400,7,7,0,0
12,2003,650400,9,8,1,0
1,2004,650400,14,13,1,2
2,2004,650400,9,8,1,1
3,2004,650400,9,8,1,3
4,2004,650400,9,9,0,1
5,2004,650400,17,15,2,1
6,2004,650400,14,12,2,0
7,2004,650400,13,12,1,5
8,2004,650400,14,12,2,0
9,2004,650400,13,12,1,0
10,2004,650400,19,19,0,2
11,2004,650400,13,13,0,0
12,2004,650400,16,16,0,1
1,2005,650400,10,10,0,0
2,2005,650400,8,8,0,0
3,2005,650400,13,12,1,0
4,2005,650400,17,15,2,3
5,2005,650400,16,14,2,1
6,2005,650400,15,13,2,0
7,2005,650400,18,17,1,0
8,2005,650400,4,3,1,1
9,2005,650400,3,3,0,0
10,2005,650400,14,11,3,0
11,2005,650400,6,3,3,0
12,2005,650400,11,10,1,1
1,2006,650400,13,10,3,1
2,2006,650400,9,8,1,0
3,2006,650400,14,12,2,0
4,2006,650400,18,16,2,0
5,2006,650400,19,17,2,0
6,2006,650400,17,12,5,0
7,2006,650400,15,14,1,0
8,2006,650400,16,13,3,0
9,2006,650400,11,9,2,0
10,2006,650400,19,16,3,1
11,2006,650400,12,12,0,2
12,2006,650400,15,12,3,2
1,2007,650400,10,7,3,1
2,2007,650400,9,8,1,1
3,2007,650400,11,9,2,3
4,2007,650400,11,10,1,3
5,2007,650400,17,16,1,3
6,2007,650400,6,6,0,1
7,2007,650400,16,14,2,1
8,2007,650400,14,13,1,1
9,2007,650400,12,9,3,5
10,2007,650400,9,9,0,1
11,2007,650400,16,15,1,1
12,2007,650400,12,10,2,3
1,2008,650400,13,13,0,1
2,2008,650400,4,4,0,2
3,2008,650400,11,10,1,0
4,2008,650400,9,6,3,0
5,2008,650400,6,4,2,0
6,2008,650400,12,10,2,1
7,2008,650400,6,6,0,0
8,2008,650400,9,8,1,3
9,2008,650400,12,10,2,1
10,2008,650400,27,23,4,1
11,2008,650400,13,12,1,0
12,2008,650400,20,19,1,0
1,2009,650400,5,5,0,1
2,2009,650400,13,12,1,2
3,2009,650400,8,6,2,0
4,2009,650400,16,15,1,1
5,2009,650400,12,10,2,1
6,2009,650400,13,13,0,0
7,2009,650400,10,10,0,1
8,2009,650400,12,9,3,3
9,2009,650400,18,18,0,0
10,2009,650400,15,13,2,1
11,2009,650400,21,21,0,2
12,2009,650400,18,17,1,1
1,2010,650400,9,7,2,0
2,2010,650400,10,9,1,1
3,2010,650400,13,12,1,0
4,2010,650400,15,15,0,2
5,2010,650400,17,17,0,2
6,2010,650400,15,14,1,2
